key_i,key_j,roles,ransac_inliers,selected_matches,rmse_initial,rmse_affine,rmse_projective,median_projective,p95_projective
right:19,left:8,loop,112,40,531.2250834959134,10.813612274963974,7.796387635899722,5.886918201482475,12.317232763743075
left:19,left:17,strong,91,40,1.035103856147415,10.550008335447671,5.287482372121608,4.880093851742505,8.500714227567055
right:19,right:17,strong,94,40,1.2293837588662468,12.904892774133682,3.867068439650683,3.419177161644508,7.107829753374151
left:20,right:19,tree,375,40,548.1471808735575,10.103083737294721,6.562574258330754,4.2562018156471915,12.264362535713035
right:20,left:19,tree,393,40,459.0428686011614,5.185940394687772,5.11695653869892,3.7987102512658537,10.035631789163743
left:20,left:7,loop,79,40,169.0284879481111,12.156144255755509,11.02032604093774,8.601363655608656,16.832052982281073
right:20,left:7,loop,68,40,17.015996368158817,9.858998495701313,9.769300431740536,6.468795140797608,14.98197240555545
left:20,right:18,strong,58,40,608.5012647232794,11.170599753877884,7.069645629918764,6.689567156267424,10.936697633395283
right:20,left:18,strong,59,40,25.682984606429425,11.197892114108187,9.164559776883772,7.396531127911335,16.254880059790928
left:21,left:20,tree,197,40,0.9058824372414228,16.69815551383549,7.414408362870691,5.849402701412638,12.034492278550497
right:21,right:20,tree,201,40,0.8607137912730137,15.661422117123374,7.863559005562914,6.628252106502093,12.525516309677812
left:21,left:6,strong,41,40,121.53109546523424,27.284580224653038,11.185408160054152,6.6575386520014534,26.304977476997372
right:21,left:6,strong,45,40,36.705255557219715,28.426477847789496,7.225621023976139,4.715446831808048,10.009278350386145
left:22,left:21,tree,319,40,1.6159907284685966,41.38460173298296,9.633266062871948,4.409112187377381,22.71516811799787
right:22,right:21,tree,298,40,1.446029158105235,41.94258458888125,13.349958162453238,5.814765281473745,32.244858363648724
left:22,right:5,loop,217,40,5.451463955762915,16.88082393774411,10.433339559583287,7.281971903814533,16.6700292473186
right:22,right:4,loop,165,40,27.01257442600399,32.744132718299014,11.837550476957473,7.4221114613837385,16.977984377351834
left:22,left:3,strong,57,40,1.4303187291455657,26.50902208248006,11.101936054742085,8.425131975810853,22.49342713783832
left:23,right:22,tree,343,40,23.919139774128535,10.523298419381184,5.896530730448453,2.673418163281714,9.47612021261979
right:23,left:22,tree,454,40,130.50134834019238,17.78119171034359,6.594434323249068,4.394453569822568,12.015094034932002
left:23,left:4,loop,168,40,43.926446193904454,20.266022965863694,8.148224986368723,5.621394553832991,15.618291331644397
right:23,left:3,loop,96,40,126.0678305719894,24.93224135459557,9.568663251385027,6.977844768942482,15.999080217936196
left:23,left:3,loop,111,40,21.44254461584775,20.140472250735797,8.68404945988985,6.942724492343701,14.62335494759587
left:24,left:23,tree,330,40,1.6548536303660373,18.353863544754216,5.774767150916661,4.454788238255604,8.590723274465594
right:24,right:23,tree,322,40,95.34569279864397,18.24673460014838,5.006875723670056,4.165523716474913,8.486425716896342
left:24,right:2,loop,180,40,2.1995802927148715,39.576589963235946,6.74284321556524,5.785129139118827,11.156607311327972
left:24,left:2,loop,166,40,13.920434676688997,27.0323815257086,5.777757505131161,4.532751096356634,9.634668605154511
left:24,left:3,loop,182,40,17.446876328964432,16.317402507472917,4.724452776772902,3.873500338002325,8.143332416769146
right:24,left:3,loop,200,40,74.68037856269224,25.537434066304705,6.609819792806773,4.970636239945655,13.191235644582159
left:24,left:4,strong,69,40,29.20649737317182,26.94752571025688,10.145717815379387,7.453367416043586,19.72556640062683
right:24,right:4,strong,64,40,120.79154161250729,38.794622948408474,7.140994154777073,4.7996968664928525,15.536762843999542
left:24,right:22,strong,61,40,1.805915589760055,18.007166574104357,8.915863613441084,6.555983745236198,17.05785551742829
left:25,right:24,tree,1292,40,17.697213395857638,19.685513833827823,5.756927314876624,4.843177024407259,9.659579493991593
right:25,left:24,tree,1223,40,100.8839602872639,18.984964465950902,4.811546507477429,4.085984698234871,7.946588097460615
right:25,left:2,loop,268,40,78.4356762403463,31.0127231704551,5.717604408169309,4.6913078181836525,10.117910177886797
left:25,right:2,loop,262,40,52.06153305069661,43.55680505593653,4.45360947348965,3.9712931031474827,6.914293073777036
right:25,right:3,loop,96,40,105.6322503632617,30.80564282316563,6.741399421696163,5.894618056912702,10.589098743964094
left:25,right:1,strong,130,40,1.9657278242591931,39.464270127670865,5.757958285615608,5.815491126675336,7.982216591782358
right:25,left:1,strong,130,40,46.255838128219644,34.20853996838867,5.600374252949647,5.122054048554908,9.01612317018485
right:25,right:23,strong,62,40,1.7982418342034596,22.075275970799613,11.728414470770986,9.817009446831587,19.452223206580328
left:26,right:25,tree,957,40,9.634446671422983,17.640271553184107,3.68984577261865,2.9555473504021195,6.882214334211618
right:26,left:25,tree,933,40,11.317696837034198,20.70690644019354,5.258821647053218,3.5189538172582338,10.85991761080228
right:26,right:1,loop,348,40,1.8606459083524325,24.04306946032184,5.384503707883229,4.865946782661409,8.870975132007118
left:26,left:1,loop,324,40,34.68856785157799,33.5425601936758,4.9128420304523255,3.837625452638605,8.28155774768241
left:26,left:24,strong,67,40,90.70451364019925,48.683448091445925,7.224297110834302,4.903887122024384,13.057843798850648
right:26,right:24,strong,67,40,1.9420227589212564,43.74531343791405,7.440711300035526,5.342555696694326,13.249288878543203
left:27,left:26,tree,1385,40,1.2569491529854053,60.83676859202323,4.796427642876964,4.019390445324417,8.41794381080255
right:27,right:26,tree,1343,40,26.37765539662461,59.803835242862945,4.659498481075774,3.1700405564185203,9.563672156703296
left:27,left:0,loop,143,40,1.7875487417592162,132.5333695886122,11.544443403985133,10.672937007541039,16.72722542891979
right:27,left:0,loop,146,40,1.940567057938231,134.12965750364876,10.962996522530677,10.437565885266473,17.93131516633924
left:27,left:1,loop,70,40,27.71512390633137,54.3483784329586,5.53603893384689,4.2491469916723705,10.745335465108136
left:27,right:1,loop,77,40,16.232859973669346,58.77355223976453,5.670242738732524,4.51294636600369,10.196008295473327
left:27,left:25,strong,78,40,38.21029042168033,47.074341509357666,4.248329821628692,3.3964866916723135,6.6042816169232745
right:27,right:25,strong,72,40,1.6294886942341575,54.77922281693093,5.036465407068482,3.684128652424093,9.620229792068747
left:28,right:27,tree,865,40,1.2252815566091753,70.43116140138281,5.078007453071053,3.002347122379236,10.411811109616421
right:28,left:27,tree,890,40,1.3156323590180032,76.36325008961595,5.361264039301724,3.8518653152203135,10.243591637343304
left:28,left:26,strong,196,40,2.744475662377969,78.9571881583771,7.7644033976279,5.708058316890741,14.55890491143435
right:28,right:26,strong,202,40,31.86706087996,71.21663974661612,7.455083492457017,5.551963966149527,13.930781866651339
left:29,right:28,tree,1012,40,2.249350849664887,52.83367893425455,8.69212783599514,5.2870284879148155,15.78002991269754
right:29,left:28,tree,970,40,3.6308472659784212,50.80862552842508,6.697880845267773,4.271963119944878,12.870557447953445
left:29,right:27,strong,69,40,1.619612483753304,81.64705055401849,11.039417953600086,7.2918401801914365,19.829409296922098
right:29,left:27,strong,68,40,1.50438617140235,80.41871880288508,10.851889870626191,7.348200692194778,20.900073673239262
left:29,left:25,strong,48,40,48.43649405919344,52.12745136542807,7.965214975797325,6.2246243777006125,12.50994270198814
right:29,right:25,strong,47,40,2.493797340381336,50.06344875475688,8.4920244956036,6.643681898161311,15.149806931149406
left:30,right:29,tree,419,40,12.909703485101822,59.134829035004586,7.089063695040629,4.9644873897919135,12.530921410791093
right:30,left:29,tree,410,40,68.37129024508857,60.04994178873006,6.093155081594696,5.413036555508252,9.518842385132448
left:30,left:26,strong,189,40,1.6444321612721304,56.87949354173352,16.32910950439168,10.785742580254123,32.4505998028704
right:30,right:26,strong,203,40,2.0004485584833125,52.356457865508325,18.710481784502363,11.223666222999979,34.141324424434245
left:30,right:28,strong,56,40,2.779383693242163,61.310015254526675,8.177213574511024,6.959230314436892,12.997014168041563
right:30,left:28,strong,54,40,32.15804110826614,65.0367241204131,10.18705064609725,7.278347265546961,11.861154317241041
left:31,right:30,tree,875,40,72.82885872050471,12.091992736828129,8.468782960987463,5.0457074332528435,16.554703368548125
right:31,left:30,tree,871,40,22.02914860614261,14.693123722225362,8.013727508115796,5.991000505812754,14.76775777561511
left:31,right:29,strong,45,40,1.4445232303703577,48.05277923056784,5.4630379537151335,4.811607186151698,9.642011985106095
right:31,left:29,strong,42,40,2.0197160482547356,49.852860673965914,6.792054936145071,5.222771726855189,13.182763173946885
left:32,left:31,tree,849,40,75.51166929561153,15.143753182236635,6.338294703773702,5.383134731563879,10.261820010691103
right:32,right:31,tree,862,40,23.692823407658505,13.840639140587232,11.899367569242118,7.040020805247055,24.458217003461005
left:32,right:30,strong,132,40,1.0429661721702914,17.14565631026717,5.457126687084048,4.123752965895273,10.142764758631593
right:32,left:30,strong,124,40,1.0246208184313257,15.21757773156872,5.2802648946151205,3.9314351830181975,9.000343532198588
left:33,left:32,tree,466,40,59.01149716226331,21.515650575567033,12.383266570776485,8.296750643339045,25.323264209421346
right:33,right:32,tree,505,40,24.646783487420496,15.780036882470185,4.860455638870342,4.12280325429474,8.585944499571594
right:33,right:23,loop,76,40,122.56361045789691,32.86444610919205,17.517924882468993,15.2787754399503,31.336372863112445
left:33,left:23,loop,91,40,171.20347291710067,44.99391614555189,25.36502681995306,19.976249830555833,46.40821863233691
left:33,right:31,strong,80,40,1.4307567123518794,25.19894029884199,8.880888007160912,5.812509764227232,14.506865850830271
right:33,left:31,strong,84,40,1.6000033919801413,24.713805829399675,9.835687196090507,9.6338654641606,14.189619981063043
left:34,right:33,tree,590,40,75.11211506660189,15.428087914033027,6.31989911684216,5.699797957199427,11.194845692767803
right:34,left:33,tree,583,40,36.05891623062785,18.62358792300194,6.604488460624985,6.100967478312585,12.082299242490992
left:34,right:21,loop,69,40,327.3665779802696,33.1955594918766,15.051041807579649,9.76409852312475,28.465748253498486
right:34,left:21,loop,62,40,373.8502126928105,35.13033898906418,15.156609382284477,10.581208452861564,27.30268554915175
left:34,left:32,strong,72,40,1.3970769123433613,17.187124263962918,6.773448919669392,4.640018243867613,11.67024649201669
right:34,right:32,strong,82,40,1.3817146099414832,17.919598732297562,5.780963240705429,4.179025950700703,8.96842056907204
right:34,left:20,strong,42,40,506.0020999260161,42.13857366493474,15.886288315266256,12.450205197080848,27.198535321715255
left:35,right:34,tree,555,40,39.738257193895805,12.276711402334493,8.276658874693776,2.8062333064901583,18.23641295300033
right:35,left:34,tree,511,40,73.34141679568945,15.056465439533495,6.027095375288369,2.3215066413328387,13.009567936022993
right:35,right:19,loop,60,40,1.5616936735243836,12.35645314079818,9.303543327838986,7.555689263753585,14.397109891874546
right:35,left:19,loop,57,40,1.4337472785960084,16.360564673863905,9.780503119397634,6.279123431936031,13.269330409795302
left:35,left:20,loop,66,40,568.5431275558708,8.244414001134444,13.050005875900123,7.138565370117712,26.202337007065378
left:35,right:20,loop,65,40,472.6480596556777,8.373519896473793,13.978988135066675,6.810231594736731,26.06933700216782
left:35,left:33,strong,89,40,1.3302930447789834,16.530844847299413,4.870417532498189,3.241084068201824,7.227183700942991
right:35,right:33,strong,91,40,1.2900235372761772,18.927930346392404,6.3036523665076,2.4724707319886488,16.54889380261678
left:35,right:18,strong,40,40,1.7402476628364159,11.601187245976236,7.3344544050785485,7.008685202517881,11.874411248487386
left:36,right:35,tree,420,40,41.1884837928888,16.59961970191969,5.899271579413558,4.893616612152904,9.490077060128797
right:36,left:35,tree,400,40,64.14064496038513,18.129347806850838,5.472384356706193,4.691153965711744,9.210380076079355
left:36,left:18,loop,80,40,455.88203622132124,8.499216355832614,8.530609023772321,8.570299354322186,14.19094790777791
right:36,right:18,loop,81,40,56.43883201399246,7.912155747916818,5.7984680333606935,4.905039822327777,8.886452706063125
left:36,left:19,loop,108,40,45.20696381936233,8.298587326303172,7.2769953918851105,5.733849810895226,12.030144756337211
right:36,left:19,loop,105,40,47.0153219631497,7.646075096792695,5.633179322247149,3.826625526805091,9.20763993776469
left:36,left:20,strong,62,40,529.153928489693,14.83496358298687,11.38258279338984,6.746838249152216,25.009784732465846
right:36,right:20,strong,56,40,426.70322922003305,9.026357952322613,10.34381946162809,4.608658582877926,20.93027046102781
left:36,left:34,strong,50,40,1.2236861540319148,19.38723285766472,18.930558979379818,19.237912404451794,29.216656542920624
right:36,right:34,strong,55,40,1.0913465975516523,17.35313127939848,11.528490011754906,8.21041520562167,23.96995809401464
left:37,left:36,tree,313,40,1.1410608928356463,10.128986557134212,6.25990317981031,5.139226570151349,11.210787459215112
right:37,right:36,tree,291,40,1.2124728735186494,16.114588533324692,11.553949869135115,9.59526388507867,19.23933645850295
left:37,left:18,loop,171,40,465.54086217708715,10.358205883777774,9.824973311054297,7.868743078962417,15.602307393539103
right:37,right:18,loop,165,40,55.6671334090319,9.498283728053313,9.332857112500502,8.148403267527875,15.579557539860396
right:37,left:9,loop,54,40,598.4068098250038,24.97561233605552,14.432547244554645,8.220836115456304,28.94294571583339
left:37,right:9,loop,55,40,468.8736884914902,19.481055227891233,13.936558236342071,9.662388876852512,23.950217815975495
