key_i,key_j,raw_matches,ratio_matches,mutual_matches,ransac_inliers,inlier_ratio,mean_reproj_error,coverage_i,coverage_j,selected_matches,verified,reason
left:50,right:8,10000,37,8,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:50,left:8,10000,27,7,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:50,right:8,10000,32,8,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:50,left:28,10000,24,5,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:50,right:28,10000,24,7,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:50,left:28,10000,21,4,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:50,right:28,10000,21,7,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:50,left:32,10000,64,25,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:50,right:32,10000,62,22,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:50,left:32,10000,74,24,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:50,right:32,10000,75,27,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:50,left:25,10000,42,8,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:50,right:25,10000,30,7,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:50,left:25,10000,46,6,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:50,right:25,10000,32,5,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:51,right:51,10000,8116,8065,8061,0.9995040297582145,0.0672706465813967,0.9376541217656935,0.9376443385270447,40,True,accepted
left:51,left:50,10000,1881,1660,1459,0.8789156626506024,1.1383615125142676,0.3327583378539787,0.3373684256978582,40,True,accepted
left:51,right:50,10000,1932,1680,1479,0.8803571428571428,1.1550260033836814,0.3304038789213951,0.3350516703983996,40,True,accepted
right:51,left:50,10000,1864,1620,1425,0.8796296296296297,1.1658331439956782,0.322802066472404,0.3274247061672372,40,True,accepted
right:51,right:50,10000,1915,1661,1474,0.8874172185430463,1.2350770617935316,0.3022998314732473,0.3066104271718923,40,True,accepted
left:51,left:49,10000,271,179,111,0.6201117318435754,1.359470835806837,0.09413454476349893,0.09201264375617899,40,True,accepted
left:51,right:49,10000,285,183,112,0.6120218579234973,1.455187501985497,0.13810164934769656,0.13508573036224628,40,True,accepted
right:51,left:49,10000,244,161,103,0.639751552795031,1.1937398751115866,0.0926515440994353,0.09060630473565517,40,True,accepted
right:51,right:49,10000,283,178,116,0.651685393258427,1.4950038827403953,0.06559735652020993,0.0645659301978629,40,True,accepted
left:51,left:47,10000,25,2,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:51,right:47,10000,25,3,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:51,left:47,10000,29,3,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
right:51,right:47,10000,35,8,0,0.0,,0.0,0.0,0,False,insufficient_mutual_matches
left:51,left:33,10000,368,240,129,0.5375,1.475248958468788,0.15563229697434244,0.14075240770179628,40,True,accepted
left:51,right:33,10000,383,269,128,0.4758364312267658,1.2721879313513849,0.16533537010878024,0.1486304172788412,40,True,accepted
right:51,left:33,10000,384,262,146,0.5572519083969466,1.7944281615853825,0.15776693955806806,0.14354006610559428,40,True,accepted
right:51,right:33,10000,382,268,153,0.5708955223880597,1.5340621169321906,0.1754815363744125,0.15875696295805528,40,True,accepted
