key_i,key_j,roles,provenance,raw_matches,ratio_matches,ransac_inliers,inlier_ratio,mean_reproj_error,coverage_i,coverage_j,quality_score,selected_matches,observation_index
left:53,right:32,loop,loop,10000,334,147,0.6363636363636364,1.2634666418174962,0.27274717247349767,0.28287061015975806,0.6864822082897823,40,364
left:53,right:51,strong,strong,10000,494,276,0.7282321899736148,1.2875391349613243,0.2512277061182611,0.2656029160265969,0.7991407801009396,40,365
right:53,left:51,strong,strong,10000,474,272,0.7727272727272727,1.2317871166997316,0.265294812510653,0.2808914215108387,0.9335572525605887,40,366
left:53,right:31,strong,strong,10000,504,150,0.4143646408839779,1.6667547839078762,0.2966130386280707,0.31277734382294686,0.36997236005824796,40,367
right:53,left:31,strong,strong,10000,493,164,0.4568245125348189,1.5245544431348326,0.3185479301856357,0.34277214400970946,0.4873681417233828,40,368
left:54,right:53,tree,tree,10001,2679,1834,0.7578512396694215,1.525797891841579,0.3134664060487015,0.3213501415202693,1.1700248552891697,40,369
right:54,left:53,tree,tree,10000,2728,1936,0.7822222222222223,1.583615291207202,0.348590685484323,0.35859802617052855,1.3032522572197087,40,370
left:54,left:30,loop,loop,10001,656,244,0.5158562367864693,1.4308166269235822,0.2974710096222097,0.3111008610504134,0.5899987357289143,40,371
right:54,right:30,loop,loop,10000,669,228,0.46060606060606063,1.671453952606792,0.37492599510484204,0.4075407028131818,0.5614071507735205,40,372
left:54,left:31,loop,loop,10001,429,216,0.6565349544072948,1.4221888229935562,0.13188675789530493,0.13184438209547117,0.3274431468532597,40,373
right:54,right:31,loop,loop,10000,431,189,0.6019108280254777,1.3565103406417265,0.13043956323208375,0.13041385658608143,0.30363058888413663,40,374
left:54,left:52,strong,strong,10001,445,208,0.6208955223880597,1.8991247551855888,0.22579190079271097,0.2421702127533279,0.39437031823487534,40,375
right:54,right:52,strong,strong,10000,427,193,0.603125,1.756298451029757,0.19477132561558108,0.209608030108267,0.3523447930986531,40,376
left:55,left:54,tree,tree,10001,3462,2593,0.8103125,1.3468773603963338,0.3666886897176643,0.36600087836865436,1.7309386537248408,40,377
right:55,right:54,tree,tree,10000,3468,2503,0.7790227201991908,1.290802053406396,0.3745597291980356,0.3736253585764911,1.7646013729879377,40,378
right:55,left:30,loop,loop,10000,638,272,0.5483870967741935,1.6547265212622733,0.2732808050635419,0.2835880511788873,0.5080328960512396,40,379
right:55,left:29,loop,loop,10000,338,113,0.4767932489451477,1.6578757335052003,0.2504734269012248,0.2599115991555015,0.3411688798803258,40,380
left:55,right:29,loop,loop,10001,340,98,0.41350210970464135,1.6176584484051564,0.23315738148120624,0.23493953006502205,0.27386506968130603,40,381
left:55,left:53,strong,strong,10001,669,322,0.6228239845261122,1.8338722582428595,0.18877142509779773,0.1889704920737459,0.3704108245113666,40,382
right:55,right:53,strong,strong,10000,610,301,0.6323529411764706,1.7957501869157135,0.19209496308314328,0.1925674826432485,0.386276193860372,40,383
left:56,right:55,tree,tree,10001,1263,943,0.942057942057942,1.234593597135576,0.4297141343646572,0.41399127811120906,2.1639289902609016,40,384
right:56,left:55,tree,tree,10000,1304,971,0.9336538461538462,1.2832504942428744,0.43819266004763363,0.4216176532735238,2.1102828554639546,40,385
left:56,right:54,strong,strong,10001,524,272,0.7771428571428571,1.8117980043342738,0.3132541535059794,0.3040405656500744,0.731550554053292,40,386
right:56,left:54,strong,strong,10000,491,301,0.8502824858757062,1.8299823125859245,0.3104394090077565,0.3002781322357748,0.7967249090818921,40,387
left:57,left:56,tree,tree,10001,2926,1731,0.6539478655081225,1.2125345754567967,0.3688219078638414,0.35684318779086616,1.4351326976330476,40,388
right:57,right:56,tree,tree,10000,2946,1735,0.6564510026485055,1.267424334299366,0.3700515066611494,0.3586607917149205,1.3856839080453116,40,389
left:57,right:55,strong,strong,10001,410,197,0.7086330935251799,1.9152213588890548,0.30426272101120205,0.2803029296699281,0.5484578296066418,40,390
right:57,left:55,strong,strong,10000,373,183,0.6931818181818182,1.6665336196735907,0.22970917086952547,0.2171578096641114,0.4710394034181051,40,391
left:58,right:57,tree,tree,10000,1484,938,0.8322981366459627,1.33436565514389,0.42606114097866193,0.4116017806793002,1.7572871430306942,40,392
right:58,left:57,tree,tree,10000,1440,882,0.8320754716981132,1.3052908428042087,0.41638651771887236,0.40354061038603956,1.7449580095493524,40,393
left:58,right:56,strong,strong,10000,335,151,0.6863636363636364,1.8131030480372108,0.299080159684179,0.27849023650398597,0.529640046822317,40,394
right:58,left:56,strong,strong,10000,317,136,0.6903553299492385,1.6098716040320205,0.29658456099269953,0.2804649945729892,0.5917295464822434,40,395
left:58,left:54,strong,strong,10000,574,276,0.6079295154185022,1.695859109169762,0.2897937188379621,0.2650636298656808,0.5343920756649824,40,396
right:58,right:54,strong,strong,10000,577,254,0.5852534562211982,2.0810189046850716,0.27069607305248056,0.24018196240566997,0.3742975183763854,40,397
left:59,left:58,tree,tree,10000,2120,1367,0.7478118161925602,1.3961698298740464,0.3238212336871094,0.3145951661106093,1.2167727478032213,40,398
right:59,right:58,tree,tree,10000,2091,1381,0.7613009922822491,1.535609131577105,0.39563681032419934,0.38151285016975145,1.367729443596793,40,399
left:59,left:57,strong,strong,10000,176,56,0.5957446808510638,1.6967163933920646,0.2526524497072101,0.23032044260400883,0.32695832240584943,40,400
right:59,right:57,strong,strong,10000,169,61,0.6421052631578947,1.5679016770628589,0.20052021253688043,0.18964425979869703,0.320534986853149,40,401
left:59,right:55,strong,strong,10000,249,84,0.5454545454545454,1.858810328043665,0.25622727789277205,0.22717666439292,0.29616190586193897,40,402
right:59,left:55,strong,strong,10000,236,83,0.5496688741721855,1.5955799671913018,0.15676209265020272,0.1378825264763457,0.21046279034897764,40,403
left:60,right:59,tree,tree,10000,2507,1685,0.7556053811659192,1.4075774834406538,0.3007892365198263,0.2977708508096155,1.1876817681717238,40,404
right:60,left:59,tree,tree,10000,2467,1748,0.7923844061650045,1.753854970198655,0.437730840644973,0.43043066253506335,1.4520436922347497,40,405
left:60,left:50,loop,loop,10000,138,62,0.7126436781609196,1.3945939702218224,0.1384807867029276,0.1290241173442893,0.27316452295591664,40,406
left:60,left:58,strong,strong,10000,272,96,0.5818181818181818,1.235383494218939,0.11835346284151325,0.11497318788994464,0.2477110484405165,40,407
right:60,right:58,strong,strong,10000,261,102,0.56353591160221,1.3096040752453286,0.11604839009760802,0.11242576209696303,0.22421849431157678,40,408
left:61,right:60,tree,tree,10000,2682,1964,0.8149377593360996,1.2622825416410792,0.46240831873675386,0.4599078682830027,2.251612198768974,40,409
right:61,left:60,tree,tree,10000,2666,1974,0.8211314475873545,1.1221011791830733,0.44033242510670756,0.43853818108386017,2.435193845316118,40,410
left:61,left:51,loop,loop,10000,557,328,0.8078817733990148,1.1237241831787945,0.34507542258606977,0.31771501261344653,1.3239090074978372,40,411
